Class,Mean Intensity,Std Intensity,Mean R,Mean G,Mean B,Std R,Std G,Std B,Var R,Var G,Var B
q,134.2368,60.92762859,180.4212,127.7324,46.5172,61.44942466,68.43021548,46.74083551,3776.031791,4682.69439,2184.705704
q,119.7964,34.29687664,214.3744,92.998,9.8988,38.51536608,39.45572197,11.2935627,1483.433425,1556.753996,127.5445586
q,48.7768,33.41760886,91.712,34.238,11.096,49.58469377,30.29011317,16.05902812,2458.641856,917.490956,257.892384
q,61.0996,52.21254332,103.3124,47.8044,18.8168,68.69029921,50.95037331,27.19220546,4718.357206,2595.940541,739.4160378
q,60.2,46.28872001,105.9176,46.3544,11.608,66.84405441,43.43604034,20.57304878,4468.12761,1886.689601,423.250336
q,60.4156,50.03121103,104.0508,47.186,14.2072,68.19642967,48.56154244,21.54499172,4650.753019,2358.223404,464.1866682
q,64.1588,50.16838828,110.0072,49.7304,18.1196,57.70708057,51.71736378,32.2521518,3330.107148,2674.685716,1040.201296
q,60.6708,56.42841861,100.1796,48.9672,17.3884,73.25068835,55.90822233,26.1578582,5365.663344,3125.729324,684.2335454
q,67.0132,54.74511326,110.1816,53.8416,21.6156,67.58658906,55.04069503,29.80131267,4567.947021,3029.478109,888.1182366
q,99.3188,77.88010508,141.252,87.7332,48.9264,75.94357179,83.38273933,67.62421004,5767.426096,6952.681218,4573.033783
q,134.888,76.3518399,180.3696,122.0728,81.6096,58.83123147,85.77881498,84.78334027,3461.113796,7358.0051,7188.214788
q,110.7536,52.23577402,177.7924,90.4452,39.4764,43.82674643,61.07840041,40.35309955,1920.783702,3730.570997,1628.372643
q,133.8888,79.54711079,178.0932,122.3712,77.2352,70.92289696,87.62844179,77.71906253,5030.057314,7678.743811,6040.252681
q,120.7004,79.6447427,164.218,108.9844,66.8404,73.3079537,86.2751329,77.62858061,5374.056076,7443.398557,6026.196528
q,165.5024,56.52732078,216.2176,155.29,85.1048,38.11628327,67.48624971,65.25021546,1452.85105,4554.3939,4257.590617
q,185.2008,43.35843723,232.5116,177.4304,101.144,19.93640553,54.25919605,63.41581557,397.4602654,2944.060356,4021.565664
q,105.0656,85.56523416,140.8668,95.424,60.8596,84.60192112,89.94107084,78.6200578,7157.485058,8089.396224,6181.113488
q,80.228,61.93406184,103.1256,75.474,44.5796,70.49719586,65.965595,28.1157405,4969.854625,4351.459724,790.4948638
q,144.1176,66.20273537,183.4336,138.692,68.7836,63.8825171,74.4043946,45.07895264,4080.975991,5536.013936,2032.111971
q,86.9716,44.36659547,123.4272,76.7028,44.134,56.42900584,43.97685837,26.21352407,3184.2327,1933.964072,687.148844
q,160.2768,57.55790981,206.0692,155.5932,64.0856,51.24230685,67.39623516,35.80045632,2625.774011,4542.252514,1281.672673
q,117.508,66.54042032,154.5236,111.0444,53.5872,74.96290178,71.13237258,34.80802201,5619.436643,5059.814429,1211.598396
q,102.2212,53.57689307,141.908,92.8228,46.5364,69.20900184,53.53512679,27.49127634,4789.885936,2866.0098,755.770275
q,97.0132,60.00120854,122.3492,91.57,58.4984,67.23245094,63.91715497,36.65240507,4520.202459,4085.4027,1343.398797
q,178.982,60.69375648,214.2392,179.6144,83.1604,56.00132484,71.00052473,41.2230551,3136.148383,5041.074513,1699.340272
q,80.234,42.30528151,111.728,70.536,47.518,56.01311646,40.40791883,24.0206094,3137.469216,1632.799904,576.989676
q,108.294,43.18027749,184.6976,88.3208,10.7104,59.67867755,47.10663953,16.63983569,3561.544554,2219.035487,276.8841318
q,66.2172,43.18119526,137.8472,40.6048,10.302,70.22568656,38.53896492,15.65591249,4931.647052,1485.251817,245.107596
q,79.4336,62.69753417,142.8568,59.888,13.8524,74.16927864,70.88589885,22.55236161,5501.081894,5024.810656,508.6090142
q,110.356,75.97483573,164.3928,101.2744,15.59,94.50117094,81.82573131,26.1830384,8930.471308,6695.450305,685.5515
q,89.5672,65.16255891,154.4508,71.1556,14.2292,86.4744516,68.34590396,24.46281806,7477.830779,4671.162589,598.4294674
q,64.7136,55.77438458,118.9564,46.9288,14.0708,75.35188982,56.22468257,21.05032511,5677.907299,3161.214931,443.1161874
q,88.13,54.23186794,161.2268,65.442,13.2652,72.07386879,56.45147506,18.43560872,5194.642562,3186.769036,339.871669
q,74.2744,62.98504509,131.238,57.9576,9.006,93.45325118,62.25049881,15.4903184,8733.510156,3875.124602,239.949964
q,186.5596,35.75467589,246.4688,182.7444,49.0512,25.53448309,44.74640397,49.68300895,652.0098266,2002.240669,2468.401379
q,124.968,80.00276855,173.3324,114.4596,52.272,76.70747754,86.48207426,82.05249305,5884.03711,7479.149168,6732.611616
q,86.1932,55.15524883,157.668,66.0772,2.4816,81.54840143,54.50852447,4.049896473,6650.141776,2971.17924,16.40166144
